#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just Guessin,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Seahawk 12 Fan,SoCalGal,Still Guessin,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda
B,BS,N,B,B,B,M,B,B,M,B,B,M,M,B,M,B,B,B,BS,B,M,BS,B,M,B,B,BS,M,B,M,B,B,M,B,M,B,B,,M,B,M,B,B,M,B,M,M,B,M,B,B,M,M,B,B,,B,M,B,B,B,M,B,B,B,BS,B,B,B,B,B,B,B
MO,MO,MO,MOS,MO,MN,MN,MN,MN,MN,MO,MO,MN,MO,MO,MO,MO,MO,MO,MO,MO,NO,MO,MO,MN,MN,MO,MO,MO,MO,MO,MO,MN,MN,MO,MN,MOS,MO,,MN,MN,MO,MO,MN,MO,MN,MN,MN,MO,MO,MO,MN,MN,MN,MN,MO,,MO,MO,MO,MN,MO,MO,MO,MO,MO,MO,MO,MN,MO,MN,MN,MO,MO
FS,O,OS,O,O,O,FS,F,O,OS,OS,OS,O,OS,OS,OS,O,O,O,O,F,O,O,O,OS,F,OS,F,F,F,OS,O,O,O,O,OS,O,OS,,OS,OS,OS,F,F,O,F,F,O,F,OS,OS,OS,FS,F,OS,F,,O,O,OS,O,O,O,O,O,F,OS,OS,O,OS,O,O,O,OS
AS,A,AS,AS,A,AS,OS,AS,AS,A,AS,A,A,AS,AS,O,AS,A,A,AS,O,A,A,O,O,A,A,AS,AS,AS,O,OS,A,A,A,A,AS,A,,O,A,AS,AS,AS,O,AS,O,AS,O,AS,AS,AS,AS,A,AS,A,,AS,A,AS,A,A,A,A,AS,AS,A,A,A,A,A,A,AS,AS
P,H,H,P,P,P,P,PS,P,H,P,P,H,P,H,P,P,H,P,H,P,H,H,H,H,PS,P,H,P,P,P,P,P,H,H,PS,P,PS,,P,P,P,P,H,P,H,H,P,H,H,H,P,P,P,P,P,,P,P,H,H,H,P,P,P,H,P,H,H,H,P,P,H,P
T,I,I,T,T,I,I,I,T,I,T,T,T,T,I,T,I,I,T,T,T,T,I,I,I,T,I,I,T,I,I,T,T,T,T,T,T,T,,I,I,T,T,I,I,T,I,I,T,T,T,I,I,I,I,I,,I,I,I,T,T,T,T,I,I,T,T,T,I,T,I,I,T
U,K,K,K,U,K,U,K,U,K,K,U,K,K,K,K,K,K,U,K,U,U,K,U,U,U,U,U,K,U,U,U,K,U,U,K,U,U,,K,U,K,U,K,K,U,K,U,U,K,U,U,K,U,U,U,,U,K,U,U,K,U,K,K,K,U,U,K,U,U,K,U,K
W,O,O,W,O,W,W,W,W,W,W,W,W,W,O,W,W,O,O,O,W,O,W,W,O,O,O,W,O,W,W,O,W,W,O,O,W,W,,W,W,W,W,O,O,W,O,W,O,W,O,W,O,O,W,W,,O,O,W,O,W,W,W,W,W,W,O,W,W,W,W,W,O
E,F,F,E,F,F,E,F,E,E,F,F,F,E,F,F,E,F,F,F,F,F,F,F,E,F,F,F,E,F,F,F,F,F,F,F,F,F,,E,E,F,F,F,F,E,E,F,F,F,F,F,F,F,F,F,,F,E,F,F,F,F,E,E,E,F,F,F,FS,F,E,F,F
A,A,A,A,A,A,T,T,A,T,A,A,T,T,A,T,T,TS,A,T,T,TS,A,A,T,A,T,T,TS,A,A,TS,A,A,T,A,T,T,,T,T,A,T,A,T,A,A,TS,A,A,A,A,T,A,T,A,,T,A,T,T,A,A,T,T,T,T,A,A,A,A,T,A,A
Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,Y,,N,N,Y,N,T,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,,N,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N
N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,,N,N,N,Y,T,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,N,T,N,N,Y,Y,Y,N,N,Y,N,Y,,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N
N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N
F,A,A,OR,F,OR,F,F,OR,OR,OR,OR,A,A,OR,OH,OR,A,A,OR,F,OR,A,OR,OR,A,OR,A,A,F,OR,OR,A,OR,OR,F,OR,OR,,OR,OR,A,A,A,OR,A,OH,OR,OH,OR,A,A,F,A,OR,OR,,O,OR,OR,OR,OR,A,OR,A,A,OR,OR,OR,OR,OR,A,OR,OR
77,63,65,68,35,54,42,50,64,63,42,66,82,55,64,61,68,42,60,65,68,84,67,48,57,52,41,52,61,45,54,63,68,48,74,41,,82,,80,68,46,60,35,62,61.0,63,54,75,68,65,54,65,56,70,72,,55,55,42,43,81,57,68,68,73,70,41,62,62,63,63,72,49
